0	20432	20
1	19673	39
2	19577	58
3	19571	78
4	19452	97
5	19617	118
6	19664	138
7	19687	158
8	19666	178
9	19542	197
10	20385	226
11	21164	257
12	21082	277
13	20923	297
14	20806	316
15	20668	336
16	20538	355
17	20426	374
18	20331	393
19	20250	413
20	20250	434
21	20621	463
22	20519	483
23	20403	501
24	20313	520
25	20233	540
26	20170	559
27	20112	579
28	20050	598
29	20031	619
30	20353	651
31	20434	675
32	20417	696
33	20780	731
34	20785	753
35	20947	782
36	21080	809
37	21041	831
38	20947	850
39	21133	880
40	21112	902
41	21018	921
42	20942	940
43	20878	960
44	20983	988
45	21190	1021
46	21394	1055
47	21543	1086
48	21698	1118
49	21790	1146
50	21976	1181
51	22183	1216
52	22260	1245
53	22428	1280
54	22707	1321
55	22849	1355
56	22925	1385
57	22980	1414
58	23134	1450
59	23246	1483
60	23440	1522
61	23406	1547
62	23341	1569
63	23314	1594
64	23241	1615
65	23163	1636
66	23069	1656
67	22969	1675
68	23004	1704
69	22976	1729
70	22933	1752
71	22864	1773
72	22802	1795
73	22777	1820
74	22718	1842
75	22697	1866
76	22618	1886
77	22562	1908
78	22525	1932
79	22503	1956
80	22450	1978
81	22364	1997
82	22278	2016
83	22222	2037
84	22145	2057
85	22064	2076
86	22085	2104
87	22102	2132
88	22097	2158
89	22075	2183
90	22042	2206
91	21960	2225
92	21926	2248
93	21885	2270
94	21854	2294
95	21820	2317
96	21819	2343
97	21875	2376
98	21884	2404
99	21971	2441
100	22096	2482
101	22219	2523
102	22300	2560
103	22398	2599
104	22409	2629
105	22412	2657
106	22414	2685
107	22426	2715
108	22348	2733
109	22279	2753
110	22302	2784
111	22284	2810
112	22271	2837
113	22247	2862
114	22181	2882
115	22111	2901
116	22020	2917
117	21992	2942
118	21964	2966
119	21945	2992
120	21950	3021
121	21947	3049
122	21892	3070
123	21879	3097
124	21855	3122
125	21850	3150
126	21824	3174
127	21765	3194
128	21769	3224
129	21725	3246
130	21664	3265
131	21636	3290
132	21615	3315
133	21578	3338
134	21526	3359
135	21505	3385
136	21537	3419
137	21530	3446
138	21483	3468
139	21430	3488
140	21376	3508
141	21346	3532
142	21318	3557
143	21288	3581
144	21220	3598
145	21209	3626
146	21204	3654
147	21150	3674
148	21127	3699
149	21121	3727
150	21102	3753
151	21084	3779
152	21032	3799
153	20994	3821
154	20971	3846
155	20950	3872
156	20921	3896
157	20907	3923
158	20869	3945
159	20853	3972
160	20818	3994
161	20795	4020
162	20773	4045
163	20749	4070
164	20706	4091
165	20659	4112
166	20618	4133
167	20575	4154
168	20538	4176
169	20501	4199
170	20484	4225
171	20431	4244
172	20445	4277
173	20421	4301
174	20399	4327
175	20401	4357
176	20353	4377
177	20312	4398
178	20289	4423
179	20276	4450
180	20274	4480
181	20257	4507
182	20231	4531
183	20214	4558
184	20178	4580
185	20167	4608
186	20148	4634
187	20106	4655
188	20102	4684
189	20077	4709
190	20059	4735
191	20021	4757
192	19995	4782
193	19950	4802
194	19946	4831
195	19926	4857
196	19894	4880
197	19894	4911
198	19853	4932
199	19837	4959
200	19827	4987
201	19782	5007
202	19743	5028
